######;#;#;#;;#;;;;;;;;;x
PROV1;Tsugaru;Tsugaru;Tsugaru;;Tsugaru;;;;;;;;;x
PROV2;Kazuno;Kazuno;Kazuno;;Kazuno;;;;;;;;;x
PROV3;Ninohe;Ninohe;Ninohe;;Ninohe;;;;;;;;;x
PROV4;Kita;Kita;Kita;;Kita;;;;;;;;;x
PROV5;Sannohe;Sannohe;Sannohe;;Sannohe;;;;;;;;;x
PROV6;Iwate;Iwate;Iwate;;Iwate;;;;;;;;;x
PROV7;Hei;Hei;Hei;;Hei;;;;;;;;;x
PROV8;Kunohe;Kunohe;Kunohe;;Kunohe;;;;;;;;;x
PROV9;Iwai;Iwai;Iwai;;Iwai;;;;;;;;;x
PROV10;Waga;Waga;Waga;;Waga;;;;;;;;;x
PROV11;Miyagi;Miyagi;Miyagi;;Miyagi;;;;;;;;;x
PROV12;Kurokawa;Kurokawa;Kurokawa;;Kurokawa;;;;;;;;;x
PROV13;Kami;Kami;Kami;;Kami;;;;;;;;;x
PROV14;Oshika;Oshika;Oshika;;Oshika;;;;;;;;;x
PROV15;Kesen;Kesen;Kesen;;Kesen;;;;;;;;;x
PROV16;Shibata;Shibata;Shibata;;Shibata;;;;;;;;;x
PROV17;Kurihara;Kurihara;Kurihara;;Kurihara;;;;;;;;;x
PROV18;Iwaki;Iwaki;Iwaki;;Iwaki;;;;;;;;;x
PROV19;Shirakawa;Shirakawa;Shirakawa;;Shirakawa;;;;;;;;;x
PROV20;Uta;Uta;Uta;;Uta;;;;;;;;;x
PROV21;Igu;Igu;Igu;;Igu;;;;;;;;;x
PROV22;Kikuta;Kikuta;Kikuta;;Kikuta;;;;;;;;;x
PROV23;Namekata;Namekata;Namekata;;Namekata;;;;;;;;;x
PROV24;Ibaraki;Ibaraki;Ibaraki;;Ibaraki;;;;;;;;;x
PROV25;Niihari;Niihari;Niihari;;Niihari;;;;;;;;;x
PROV26;Kuji;Kuji;Kuji;;Kuji;;;;;;;;;x
PROV27;Omiya;Omiya;Omiya;;Omiya;;;;;;;;;x
PROV28;Hitachi;Hitachi;Hitachi;;Hitachi;;;;;;;;;x
PROV29;Makabe;Makabe;Makabe;;Makabe;;;;;;;;;x
PROV30;Kashima;Kashima;Kashima;;Kashima;;;;;;;;;x
PROV31;Tsukuba;Tsukuba;Tsukuba;;Tsukuba;;;;;;;;;x
